ID,BattingTeam,Innings,TotalScore,WicketsLost,WinProbabilityScore
419113,Chennai Super Kings,1,164,3,83.4
419109,Kolkata Knight Riders,2,136,3,66.6
419111,Delhi Daredevils,2,142,4,65.2
598051,Chennai Super Kings,1,223,3,118.8
548331,Kings XI Punjab,1,163,6,67.8
548322,Pune Warriors,2,156,3,78.6
501241,Pune Warriors,2,139,7,48.4
501198,Chennai Super Kings,1,153,4,71.8
598029,Kolkata Knight Riders,1,159,6,65.4
501263,Mumbai Indians,1,133,5,54.8
598021,Sunrisers Hyderabad,2,127,5,51.2
598028,Delhi Daredevils,2,164,7,63.4
1082614,Delhi Daredevils,2,128,7,41.8
1178411,Mumbai Indians,1,161,5,71.6
1178411,Rajasthan Royals,2,162,5,72.2
1136561,Mumbai Indians,1,165,4,79.0
1136601,Mumbai Indians,1,210,6,96.0
419144,Kolkata Knight Riders,1,181,3,93.6
598061,Kolkata Knight Riders,2,163,7,62.8
598012,Royal Challengers Bangalore,1,165,6,69.0
501264,Kings XI Punjab,2,116,10,19.6
598067,Delhi Daredevils,2,134,9,35.4
598015,Pune Warriors,1,159,5,70.4
419150,Rajasthan Royals,2,137,8,42.2
598008,Royal Challengers Bangalore,2,158,2,84.8
548371,Chennai Super Kings,1,120,7,37.0
598043,Rajasthan Royals,1,132,6,49.2
501204,Rajasthan Royals,2,152,4,71.2
419114,Delhi Daredevils,2,120,9,27.0
419152,Delhi Daredevils,2,144,7,51.4
501203,Deccan Chargers,2,154,8,52.4
419126,Deccan Chargers,1,148,9,43.8
419157,Royal Challengers Bangalore,2,134,9,35.4
501262,Kolkata Knight Riders,2,119,3,56.4
548323,Kolkata Knight Riders,2,132,7,44.2
501223,Kings XI Punjab,2,202,6,91.2
598027,Royal Challengers Bangalore,1,263,5,132.8
598042,Royal Challengers Bangalore,1,187,3,97.2
598042,Pune Warriors,2,170,9,57.0
501219,Kochi Tuskers Kerala,1,132,7,44.2
501253,Chennai Super Kings,1,176,4,85.6
501199,Deccan Chargers,1,137,8,42.2
419137,Rajasthan Royals,2,223,5,108.8
598054,Delhi Daredevils,2,179,7,72.4
501251,Kings XI Punjab,1,163,8,57.8
598018,Sunrisers Hyderabad,1,119,8,31.4
598006,Mumbai Indians,1,209,5,100.4
598006,Delhi Daredevils,2,165,9,54.0
501267,Kolkata Knight Riders,1,175,7,70.0
598041,Kings XI Punjab,2,171,6,72.6
548377,Mumbai Indians,2,163,0,97.8
598070,Chennai Super Kings,1,192,1,110.2
598021,Kings XI Punjab,1,123,9,28.8
548347,Kolkata Knight Riders,2,140,5,59.0
501228,Chennai Super Kings,2,145,2,77.0
548358,Pune Warriors,1,125,6,45.0
501259,Pune Warriors,1,136,9,36.6
1082630,Delhi Daredevils,2,189,4,93.4
1136574,Mumbai Indians,1,213,6,97.8
1136583,Mumbai Indians,2,87,10,2.2
1082607,Royal Challengers Bangalore,2,134,9,35.4
1082639,Kolkata Knight Riders,2,153,6,61.8
